Table,Variable,Description,Type,Format / Unit,Allowed values,Source,Fallback source,Missing policy,Transformation / derivation,Analytical use,Role
films_enriched_v2,release_type,Approved initial distribution model relevant to theatrical eligibility.,categorical string,text,theatrical; limited_theatrical; day_and_date_theatrical_streaming,Canonical Film Catalogue v2.1 (Task 2),Task 2 v2.1 release evidence; TMDB release_dates endpoint for cross-check only,Never missing for included films.,None.,Separates standard theatrical performance from limited or simultaneous streaming cases.,context
films_enriched_v2,release_context,Context flag for release conditions that materially affect comparability.,categorical string,text,standard; covid_disrupted; other_exception,Canonical Film Catalogue v2.1 (Task 2),Official distributor / studio release evidence,Never missing for included films.,None.,Sensitivity analysis and annotation of COVID-era or otherwise exceptional releases.,context
films_enriched_v2,animation_form,Form classification needed to distinguish animated competitor/core films from Disney live-action or photorealistic remake context.,categorical string,text,animated; live_action; photorealistic,Canonical Film Catalogue v2.1 (Task 2),Official studio classification,Never missing for included films.,None.,Prevents inappropriate direct comparisons between animated core titles and Disney remake-context forms.,categorical
films_enriched_v2,franchise_status,Film's relationship to an existing screen property under Dataset Scope v2.0.,categorical string,text,first_entry; sequel; prequel; spin_off; remake_reimagining,Canonical Film Catalogue v2.1 (Task 2),Official studio/franchise documentation,Never missing for included films.,None.,Comparison of first entries and franchise extensions over time.,categorical
films_enriched_v2,franchise_name,"Canonical umbrella screen-franchise label, when the film belongs to a franchise as of the frozen cutoff.",categorical string,text,Canonical franchise name; blank for films with no identified franchise membership,Official studio/franchise sources consistent with Canonical Film Catalogue v2.1,The Numbers franchise metadata / authoritative trade source,"Blank for non-franchise films; must be non-blank for sequel, prequel, spin_off, or remake_reimagining unless the property has no meaningful umbrella label.",No automated inference from title strings.,Groups franchise entries and supports franchise concentration / recurrence views.,categorical
films_enriched_v2,source_material_status,"Observable source-basis classification, kept distinct from franchise status.",categorical string,text,original_screen_ip; adaptation_existing_source; existing_screen_ip,Canonical Film Catalogue v2.1 (Task 2),Task 2 v2.1 row-level source evidence,Never missing for included films.,None.,Separates new screen IP from adaptations and existing screen properties without inventing an originality score.,categorical
films_enriched_v2,tmdb_id,TMDB movie identifier used for reproducible API retrieval of audience fields.,integer,positive integer,TMDB movie ID,TMDB API,None; resolve ambiguous matches manually using title/year/studio evidence,Missing only if no reliable TMDB match exists; do not substitute a different rating platform.,Matched using canonical title/year and verified before retrieval.,Stable key for rating snapshots and API reproducibility.,identifier
films_enriched_v2,financial_source_url,Exact film-level financial source page used for budget and box-office extraction.,string,URL,Usually a The Numbers film page; fallback source URL when primary data are unavailable,The Numbers / approved fallback,Box Office Mojo for grosses; official/trade source for budget,Required whenever any financial field is populated.,None.,Row-level traceability of commercial data.,identifier
films_enriched_v2,production_budget_usd_nominal,"Single production-budget value reported by the selected source, in contemporaneous nominal U.S. dollars.",number,"USD, nominal",>= 0; zero is not accepted as a missing-data placeholder,The Numbers,Official studio/corporate disclosure or reputable trade reporting,NA when unavailable or when only an unresolved range exists. Never impute. Source 0/n/a placeholders are converted to NA.,Currency normalization to USD only when the source explicitly reports USD; do not infer exchange rates silently.,"Budget scale, gross-to-budget descriptive ratio, commercial-data quality assessment.",raw
films_enriched_v2,production_budget_low_usd_nominal,Lower bound when the best credible budget evidence is a reported range.,number,"USD, nominal",>= 0; <= production_budget_high_usd_nominal,Approved budget source,Reputable trade reporting,NA unless a credible range is explicitly reported.,Do not create a range from informal disagreement between weak sources.,Preserves uncertainty rather than collapsing ranges to arbitrary midpoints.,raw
films_enriched_v2,production_budget_high_usd_nominal,Upper bound when the best credible budget evidence is a reported range.,number,"USD, nominal",>= 0; >= production_budget_low_usd_nominal,Approved budget source,Reputable trade reporting,NA unless a credible range is explicitly reported.,Do not replace a range with its midpoint.,Budget uncertainty and data-quality reporting.,raw
films_enriched_v2,budget_value_type,Quality/type flag describing how the stored production budget should be interpreted.,categorical string,text,point_value; reported_range; conflicting_sources; missing,Derived from budget-source evidence,,Never missing.,Classified after source review; does not imply audited accounting precision.,Data-quality assessment and filtering/sensitivity checks.,context
films_enriched_v2,budget_note,"Concise note for material budget ambiguity, source conflict, or range interpretation.",string,text,Free text; normally blank,Researcher documentation,,Blank when no non-trivial issue exists.,None.,Traceability for known budget-quality issues.,context
films_enriched_v2,domestic_box_office_usd_nominal,Cumulative domestic theatrical box-office gross reported by the financial source.,number,"USD, nominal",>= 0,The Numbers,Box Office Mojo,NA if unavailable. Never infer from worldwide gross.,Use the source's cumulative domestic theatrical total as retrieved.,Primary long-run commercial comparison after CPI normalization; nominal value retained for audit.,raw
films_enriched_v2,international_box_office_usd_nominal,Cumulative international theatrical box-office gross reported by the financial source.,number,"USD, nominal",>= 0,The Numbers,Box Office Mojo when explicitly available,NA if unavailable; do not derive silently as worldwide minus domestic.,None.,Commercial-data reconciliation and optional domestic/international context.,raw
films_enriched_v2,worldwide_box_office_usd_nominal,Cumulative worldwide theatrical box-office gross reported by the financial source.,number,"USD, nominal",>= 0,The Numbers,Box Office Mojo,"NA if unavailable. Never impute from budget, rating, or other performance variables.",Use source-reported worldwide total rather than reconstructing when available.,Worldwide commercial scale and gross-to-budget descriptive ratio.,raw
films_enriched_v2,box_office_note,Concise note for non-trivial box-office source issues or incomplete/current theatrical runs.,string,text,Free text; normally blank,Researcher documentation,,Blank when no non-trivial issue exists.,None.,"Data-quality interpretation, especially recent or anomalously distributed films.",context
films_enriched_v2,tmdb_user_rating,TMDB movie vote_average captured as a dated snapshot.,number,0-10 score,0-10 when vote_count > 0,TMDB API movie details,None; do not mix rating platforms,"If tmdb_vote_count == 0, store rating as NA rather than interpreting API zero as a real audience score.",No rescaling; retain TMDB vote_average.,"Audience reception comparison by studio, period, corpus, and franchise status.",raw
films_enriched_v2,tmdb_vote_count,Number of TMDB votes underlying the captured user rating.,integer,votes,>= 0,TMDB API movie details,,NA only if the TMDB record cannot be retrieved; 0 is a valid count.,None.,Rating reliability/context and sensitivity analysis; not treated as a pure popularity measure.,raw
films_enriched_v2,financial_retrieval_date,Date on which financial values were retrieved.,date,YYYY-MM-DD,Valid date,Research workflow,,Required whenever any financial field is populated.,None.,Reproducibility because current/recent box-office totals can change.,context
films_enriched_v2,tmdb_retrieval_date,Date on which TMDB vote_average and vote_count were captured.,date,YYYY-MM-DD,Valid date,Research workflow,,Required whenever TMDB audience fields are populated.,None.,Makes time-varying audience metrics reproducible as a snapshot.,context
films_enriched_v2,is_franchise_extension,Binary analytical grouping separating first screen entries from extensions of existing screen properties.,boolean,TRUE/FALSE,TRUE; FALSE,Derived from franchise_status,,Never missing when franchise_status is present.,"TRUE if franchise_status in {sequel, prequel, spin_off, remake_reimagining}; FALSE if first_entry.","Compares first entries with sequels, prequels, spin-offs, and remakes/reimaginings without creating a subjective originality score.",derived
films_enriched_v2,domestic_box_office_usd_jul2026,Domestic theatrical gross converted to July 2026 U.S. consumer-price purchasing power.,number,July 2026 USD,>= 0,Derived from The Numbers domestic gross and BLS CPI-U,,NA if domestic gross or the corresponding monthly CPI is missing.,"domestic_box_office_usd_nominal * 333.918 / CPI_U(release month), where 333.918 is July 2026 CPI-U, U.S. city average, all items, not seasonally adjusted.",Main inflation-normalized domestic box-office comparison across time.,derived
films_enriched_v2,worldwide_gross_to_budget_ratio,Worldwide theatrical gross divided by the point production-budget value.,number,dimensionless ratio,>= 0,Derived,,"NA if worldwide gross or point budget is missing, if budget <= 0, or if only a budget range is available.",worldwide_box_office_usd_nominal / production_budget_usd_nominal,Descriptive comparison of theatrical gross relative to production-budget scale.,derived
cpi_u_monthly,cpi_month,Month identifying the CPI observation used for inflation normalization.,string/date-period,YYYY-MM,1998-01 through 2026-07,U.S. Bureau of Labor Statistics,,No missing months expected in the required interval; any source gap must be documented rather than interpolated silently.,None.,Join key from film release month to CPI-U.,identifier
cpi_u_monthly,cpi_u_index,"Consumer Price Index for All Urban Consumers, U.S. city average, All items, not seasonally adjusted.",number,"Index, 1982-84=100",> 0,U.S. Bureau of Labor Statistics,,Do not interpolate silently; document any unavailable source observation.,Raw monthly CPI-U value.,Inflation normalization of domestic box office.,raw
cpi_u_monthly,cpi_series,Human-readable identifier of the CPI series used throughout the project.,string,text,"CPI-U All items, U.S. city average, not seasonally adjusted (1982-84=100)",U.S. Bureau of Labor Statistics,,Never missing.,Constant metadata field.,Prevents accidental mixing of CPI series.,context
cpi_u_monthly,cpi_retrieval_date,Date on which the CPI series snapshot was retrieved.,date,YYYY-MM-DD,Valid date,Research workflow,,Never missing.,None.,Reproducibility and data-version traceability.,context
